# Oscilloscope Data

# Seconds	currentAverage	currentRawValue	currentValue	voltageValue	voltageAverage	voltageRawValue
1923.022	1.17549e-38	0	0.00474018	19.1908	1.17549e-38	0
1923.122	1.17549e-38	0	0.00474018	19.1908	1.17549e-38	0
1923.222	1.17549e-38	0	0.00474018	19.1908	1.17549e-38	0
1923.322	1.17549e-38	0	0.00474018	19.1908	1.17549e-38	0
1923.325	1.17549e-38	0	0.00474018	19.1908	1.17549e-38	0
1923.424	1.17549e-38	0	-0.0105063	19.2436	1.17549e-38	0
1923.524	1.17549e-38	0	-0.0105063	19.2436	1.17549e-38	0
1923.624	1.17549e-38	0	-0.0105063	19.2436	1.17549e-38	0
1923.724	1.17549e-38	0	-0.0105063	19.2436	1.17549e-38	0
1923.824	1.17549e-38	0	-0.0105063	19.2436	1.17549e-38	0
1923.924	1.17549e-38	0	-0.0105063	19.2436	1.17549e-38	0
1924.024	1.17549e-38	0	-0.0105063	19.2436	1.17549e-38	0
1924.124	1.17549e-38	0	-0.0105063	19.2436	1.17549e-38	0
1924.224	1.17549e-38	0	-0.0105063	19.2436	1.17549e-38	0
1924.324	1.17549e-38	0	-0.0105063	19.2436	1.17549e-38	0
1924.424	1.17549e-38	0	-0.0105063	19.2436	1.17549e-38	0
1924.524	1.17549e-38	0	-0.0105063	19.2436	1.17549e-38	0
1924.624	1.17549e-38	0	-0.00034197	19.27	1.17549e-38	0
1924.724	1.17549e-38	0	-0.00034197	19.27	1.17549e-38	0
1924.824	1.17549e-38	0	-0.00034197	19.27	1.17549e-38	0
1924.924	1.17549e-38	0	-0.00034197	19.27	1.17549e-38	0
1925.024	1.17549e-38	0	-0.00034197	19.27	1.17549e-38	0
1925.124	1.17549e-38	0	-0.00034197	19.27	1.17549e-38	0
1925.224	1.17549e-38	0	-0.00034197	19.27	1.17549e-38	0
1925.324	1.17549e-38	0	-0.00034197	19.27	1.17549e-38	0
1925.327	1.17549e-38	0	-0.00034197	19.27	1.17549e-38	0
1925.426	1.17549e-38	0	-0.00034197	19.27	1.17549e-38	0
1925.526	1.17549e-38	0	-0.00034197	19.27	1.17549e-38	0
1925.626	1.17549e-38	0	-0.00034197	19.27	1.17549e-38	0
1925.726	1.17549e-38	0	-0.00034197	19.27	1.17549e-38	0
1925.826	1.17549e-38	0	-0.00034197	19.27	1.17549e-38	0
1925.926	1.17549e-38	0	-0.0138944	19.0235	1.17549e-38	0
1926.026	1.17549e-38	0	-0.0138944	19.0235	1.17549e-38	0
1926.126	1.17549e-38	0	-0.0138944	19.0235	1.17549e-38	0
